incident_id,source_agency,provider_bucket,incident__source__date_occurred,incident__context__region,incident__context__operator,incident__event__top_event,incident__event__incident_type,incident__event__summary,json_path
SP%2062-C%20GOM%20Shelf%20%2003-Nov-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/SP%2062-C%20GOM%20Shelf%20%2003-Nov-2025.json
ST%20229%20W%26T%2009-May-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/ST%20229%20W%26T%2009-May-2025.json
VK%20915%20Anadarko%2004-May-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/VK%20915%20Anadarko%2004-May-2025.json
WD%20152%20Renaissance%2027-Aug-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/WD%20152%20Renaissance%2027-Aug-2025.json
WD%2090%20Apache%20%2021-APR-2025,UNKNOWN,incidents,,Gulf of Mexico,Stub Operator,Loss of Containment,gas_release,Stub incident for testing purposes.,data/structured/incidents/WD%2090%20Apache%20%2021-APR-2025.json
02-May-2024_GC%20478_Murphy%20EV2010R,BSEE,anthropic,2024-05-02,"Gulf of Mexico, GC Block 478",Murphy Exploration & Production Company – USA,Loss of Primary Containment,Crane brake failure during load testing with hydraulic fluid release,"On May 2, 2024, during 5-year recertification load testing of forward starboard knuckle boom crane (KBC #1) on the drillship Noble Stanley Lafosse at GC 478, a winch brake assembly failure occurred at approximately 70 MT while attempting to reach 93.5 MT test load. The crane's Automatic Overload Protection System (AOPS) activated, but brake assembly #4 failed to release simultaneously with the other three brakes. This caused excessive load on the sprag clutches which sheared, resulting in uncontrolled descent of the water bag. The descent caused a hydraulic test port failure, spraying hydraulic fluid on deck (LOPC). The water bag contacted the take-on station, ripped open, and descended to the Gulf of Mexico. Two hydraulic motors and four brake assemblies were damaged. Total property damage was $168,150. No injuries occurred.",data/structured/incidents/anthropic/02-May-2024_GC%20478_Murphy%20EV2010R.json
07-MAR-2024_KC%20785_LLOG_EV2010R%20%281%29,BSEE,anthropic,2024-03-07,Gulf of Mexico - Keathley Canyon Block 785,"LLOG Exploration Offshore, L.L.C.",Dropped Object Injury,Personnel Injury - Slip/Trip/Fall with Struck By,"On 7 March 2024 at 1500 hours, a Seadrill employee sustained a back and shoulder injury during slip and cut drill line operations on the Seadrill West Neptune drillship. While attempting to correct an abnormal twist in a 2-inch diameter drill line using an air tugger and nylon web sling, the drill line slipped from the sling and fell approximately 20-25 feet. The 19-foot section weighing 148 pounds struck the employee who had tripped while exiting the line of fire, hitting his hardhat, rolling over his middle back and left shoulder. He was diagnosed with a torn labrum and required 10-12 weeks of physical therapy.",data/structured/incidents/anthropic/07-MAR-2024_KC%20785_LLOG_EV2010R%20%281%29.json
08-July-2024_ST%2023CC_Cantium%20EV2010R,BSEE,anthropic,2024-07-08,Gulf of Mexico - South Timbalier Block 23,"Cantium, LLC",Loss of Control - Lifting Operations,Structural Damage - Lifting Equipment,"On July 8, 2024, while pulling out of the hole with drill pipe on the jack-up rig Enterprise 205, the traveling block struck the crown saver assembly with approximately 117,000 lbs overpull, resulting in $11,210 in damages. The driller lost situational awareness while checking the pipe tally, and the crown-o-matic (COM) failed to trip when contacted by the drill line because the barrel wasn't set properly. Contributing factors included inadequate hazard analysis in the JSA, lack of rig-specific procedures for checking the COM, and failure of floorhand to count tool joints during the operation.",data/structured/incidents/anthropic/08-July-2024_ST%2023CC_Cantium%20EV2010R.json
10-Nov-2024_GC432_Murphy%20EV2010R,BSEE,anthropic,2024-11-10,"Gulf of America, Green Canyon Block 432",Murphy Exploration & Production Company - USA,Personnel Struck by Wave,Lost Time Injury,"On November 10, 2024, at 0145 hours, an injured person (IP) was struck by a wave on the stern of the Transocean Deepwater Invictus drillship during workover operations. Despite being informed during a pre-tour meeting that the stern was secured due to deteriorating weather and building seas (approximately 15-foot waves), the IP entered the restricted area to observe the water. A wave struck the IP, throwing him approximately 20 feet across the rig, causing him to strike a bollard before coming to rest at the base of a stairwell. The IP sustained a fractured right femur and was evacuated to West Jefferson Hospital. The investigation concluded that the IP's failure to observe the secured area and follow supervisor direction contributed significantly to the accident.",data/structured/incidents/anthropic/10-Nov-2024_GC432_Murphy%20EV2010R.json
11-JUL-2024_HIA5_MantaRay_EV2010R%20%281%29_0,BSEE,anthropic,2024-07-11,Gulf of Mexico - High Island Area Block A-5,"Manta Ray Gathering Company, L.L.",Loss of Containment of Energy,Struck by rotating equipment,"On July 11, 2024, at approximately 0730 hours, during a routine life capsule inspection at the High Island A-5 Manta Ray Gathering Facility, a contract pipeline operator from Quality Process Services suffered a serious head injury when struck by a winch assist handle. The Genesis Person in Charge and the injured person lowered the capsule 4 to 6 feet to verify winch operations. After lowering, the PIC engaged the electric winch from the lower section to raise the capsule. The winch assist handle, which should have been removed before operating the electric winch, remained in the socket. As the winch operated, the handle struck the IP in the head, causing him to fall unconscious with head bleeding. A safety device designed to prevent winch operation with the handle in place had been bypassed. The IP was diagnosed with a fractured skull requiring surgery. The incident was attributed to inadequate knowledge of equipment operation and failure to follow safety protocols, with contributing factors including lack of Job Safety Analysis and improper equipment handling.",data/structured/incidents/anthropic/11-JUL-2024_HIA5_MantaRay_EV2010R%20%281%29_0.json
13-MAR-2024_SS189_WOG_EV2010,BSEE,anthropic,2024-03-13,Gulf of Mexico - Ship Shoal Block 189,Walter Oil & Gas Corporation,Loss of Structural Integrity,Dropped Object,"On March 13, 2024, during plug and abandon operations on jack-up rig Enterprise 264, a crane stinger failed while offloading a 4x40 foot basket weighing 13,000 pounds from a workboat. The stinger, rated for 9.80 tons vertical pull, parted due to internal corrosion from moisture buildup in the socket over time. The basket fell upside down onto the control room, P-tanks, and platform on top of living quarters, causing approximately $7,500 in damage. No injuries occurred. Investigation revealed that the stinger had not been specifically inspected prior to use, and inspection procedures (Preventive Maintenance Daily checklist, cold work permit, and JSA) did not explicitly require stinger inspection.",data/structured/incidents/anthropic/13-MAR-2024_SS189_WOG_EV2010.json
16%20Feb%202024_WR%2029%20_Chevron_EV2010R,BSEE,anthropic,2024-02-16,"Gulf of Mexico, Walker Ridge Block 29",Chevron U.S.A. Inc.,Caught Between Incident,Personnel Injury - Caught Between,"On February 16, 2024, during crane operations offloading 16-inch casing from a supply vessel to the pipe deck on the Nabors MODS 400 rig, a deck foreman (IP) was struck by a swinging bundle of casing weighing approximately 11,500 lbs. The IP had turned his back to the suspended load while verifying casing tally and failed to recognize he was positioned in the impact zone between the casing bundle and a sub-rack basket. Despite warnings from riggers, the bundle struck the IP on the right hip, forcing his left hip into the sub-rack basket, resulting in three pelvic fractures. The IP was evacuated to hospital and discharged four days later.",data/structured/incidents/anthropic/16%20Feb%202024_WR%2029%20_Chevron_EV2010R.json
18%20Jan%202024_GC%20478_Murphy_%20EV2010R,BSEE,anthropic,2024-01-18,Gulf of Mexico - Green Canyon Block 478,Murphy Exploration & Production Company - USA,Loss of Containment - Casing Parting,Structural Damage - Casing Connection Failure,"On January 18, 2024, while running 22 inch casing on the drillship Noble Stanley Lafosse at GC 478 Well 004, the S-90/MT connection between joints 16 and 17 failed due to cross-threading. When the slips were opened to install anti-rotation keys, 72 joints of casing fell partially into the hole and onto the seafloor, impacting subsea infrastructure. The connection was made up only 1/4 to 3/8 turn instead of the required 1/2 to 3/4 turn, and visual inspection failed to detect a 0.143 inch gap indicating cross-threading. No injuries or environmental impacts occurred, but damages exceeded $15 million.",data/structured/incidents/anthropic/18%20Jan%202024_GC%20478_Murphy_%20EV2010R.json
18-FEB-2023%20BP%20MC%20778%20PDQ,BSEE,anthropic,2023-02-18,Gulf of Mexico - Mississippi Canyon Block 778,BP Exploration & Production Inc.,Loss of Containment of Suspended Load,Dropped Object,"On February 18, 2023, at 21:27 hours, while pulling out of the hole with the 13th stand of 4-1/2 inch drill pipe on the Thunder Horse PDQ Platform, the Driller opened the BX4 elevator before the Pipe Racking System (PRS) could secure the stand. This caused the stand of drill pipe to fall across the rig floor towards the port side, landing on the auxiliary PRS hoist. Three Floor Hands in the yellow zone evacuated the area, with one slipping on the deck and injuring his knee and hip. The Floor Hand was evacuated the next day for medical evaluation. The incident could have resulted in multiple fatalities. Investigation revealed the Driller had a similar incident on January 3, 2023, and was not following Work Instructions WI-TH-DR-OPS-096.",data/structured/incidents/anthropic/18-FEB-2023%20BP%20MC%20778%20PDQ.json
18-JUN-2023_Chevron_Platform%20Gail_EV2010R,BSEE,anthropic,2023-06-18,"Pacific OCS Region - Lease P00205, Area/Block LA/6012",Chevron U.S.A. Inc.,Loss of Containment of Human Body Part,Amputation injury during conductor removal,"On June 18, 2023, at approximately 18:35, an amputation injury occurred during decommissioning operations at Platform Gail. The injured person was adjusting chains in a marine growth removal system when a conductor began rising unexpectedly. The injured person had requested an 'all stop' and seeing movement stop, placed his left hand fingers under the chain just as the conductor began rising again. This motion caused the chain to tighten, trapping the injured person's left hand and amputating the tips of two fingers (middle and ring finger between fingernail and first knuckle). The incident occurred because the 'all stop' call was not confirmed by the casing jack operator, who was simultaneously checking the conductor's weight. The injured person mistook the brief pause for a confirmed stop and proceeded with chain adjustment.",data/structured/incidents/anthropic/18-JUN-2023_Chevron_Platform%20Gail_EV2010R.json
20-July-2024_SS%20224D_Talos%20EV2010R,BSEE,anthropic,2024-07-20,Gulf of Mexico - Ship Shoal Area Block 224,Talos ERT LLC,Loss of Containment - Personnel Injury,Personnel Injury - Hand Caught in Crane Equipment,"On July 20, 2024, at approximately 2200 hours, a rigger suffered lacerations to his ring finger and partial amputation of his pinky finger when his right hand was caught between the crane cable and crane block sheave while guiding a casing cutter tool through deck openings during abandonment operations at Ship Shoal 224 D platform. The injured person was using his hands to guide the crane block instead of push poles as required by company policy. The incident occurred during a blind lift operation where the crane operator could not see the load due to the lift boat being jacked up above the platform deck level.",data/structured/incidents/anthropic/20-July-2024_SS%20224D_Talos%20EV2010R.json
2010%20Arena%20HI%20547%20B%2005.JAN_.2023%20Redacted,BSEE,anthropic,2023-01-05,Gulf of Mexico - High Island Area Block 547,"Arena Offshore, LP",Loss of Containment,Fire,"On January 5, 2023, at 1730 hours, a fire occurred at High Island 547 B platform involving the Glycol Reboiler Dehydration system. The still column vent pipe became plugged, resulting in pressure build up until it ruptured. The rupture caused glycol to spray which contacted the reboiler and exhaust stack (operating at 750-800°F), igniting the glycol mixture. Platform operators activated emergency shutdown and extinguished the fire in ten minutes using fire extinguishers. No injuries or pollution occurred. Fire damage was limited to the Glycol Reboiler and Dehydration unit, totaling over $100,000.",data/structured/incidents/anthropic/2010%20Arena%20HI%20547%20B%2005.JAN_.2023%20Redacted.json
2010%20Shell%20AC%20857%2003.JAN_.2023%20Redacted,BSEE,anthropic,2023-01-03,Gulf of Mexico - Alaminos Canyon Block 857,Shell Offshore Inc.,Loss of Power,Equipment Failure - Fire,"On January 3, 2023, at 2210 hours, a DC capacitor on Universal Power Supply UPS-7560 failed at the Perdido Spar platform, causing smoke release, arcing/sparking, and activation of smoke detectors. The automated safety system shut-in the facility and caused full power loss. The Fire Team responded but found no visible fire. The Electrical Team isolated power feeds and identified the failed inverter through troubleshooting. The UPS was locked out and bypassed, with a spare circuit providing power. Estimated repair cost is $56,830 with 7-9 weeks lead time for parts. No injuries or pollution occurred.",data/structured/incidents/anthropic/2010%20Shell%20AC%20857%2003.JAN_.2023%20Redacted.json
21-MAR-2023_WR758_Chevron_EV2010R,BSEE,anthropic,2023-03-21,Gulf of Mexico - Walker Ridge Block 758,Chevron U.S.A. Inc.,Dropped Object,Dropped Object - Near Miss,"On March 21, 2023, at 02:30 hours, a 25-pound riser bolt insert dislodged from a riser flange and fell approximately 75 feet to the rig floor on the drillship Valaris DS-18. The insert passed between two Floorhands and struck an aluminum stairway, damaging two steps. The drill crew was running marine riser joint #36 using the Top Drive when the incident occurred. Investigation revealed that the riser retainer pin was either never installed or fell out during transport, and the required retention cable (sling) was not installed as specified in Step 6, Item 'd' of the WIMS. Personnel failed to stop work immediately after the incident and continued making up riser bolts for several minutes before reporting.",data/structured/incidents/anthropic/21-MAR-2023_WR758_Chevron_EV2010R.json
22-Apr-2024_GC%20389_%20Murphy%20EV2010R,BSEE,anthropic,2024-04-22,"Gulf of Mexico, Green Canyon Block 389",Murphy Exploration & Production Company - USA,Hand Caught Between C-Plates,Personnel Injury - Caught Between,"On April 22, 2024, a hand injury occurred on the drillship Noble Stanley Lafosse during wireline completion operations at Green Canyon Block 389. The injured person (IP) was assisting the wireline helper disconnect wireline tools when his right hand was caught between the upper C-plate with tools weighing 175 lbs and lower C-plate. The helper had raised the tool string approximately 4 inches above the bottom C-plate. The IP placed his right hand under the upper C-plate to stabilize the tool string. When the helper released the tools, they fell 4 inches, smashing the IP's right hand between the C-plates, causing lacerations to the right hand ring and middle fingertips and a broken finger tip. The IP required evacuation and 14 stitches. Investigation revealed the helper lacked deepwater experience, the IP was not properly trained on wireline tools, the JSEA was inadequate, communication was poor, and Stop Work Authority was not used.",data/structured/incidents/anthropic/22-Apr-2024_GC%20389_%20Murphy%20EV2010R.json
28-MAR-2024_WR%2051_BOE_EV2010R,BSEE,anthropic,2024-03-28,"Gulf of Mexico, Walker Ridge Block 51","Beacon Offshore Energy, LLC",Fall Through Open Hole,Personnel Injury - Fall from Height,"On March 28, 2024, the Transocean Subsea Superintendent fell approximately nine feet through an open hole on a BOP work platform on the drillship Transocean Deepwater Atlas. The hatch cover had been removed after its hinge separated, creating a dropped object hazard, but no barrier was installed and the open hole was not communicated to the work team. The IP was wearing a safety harness but was not tied off. He injured his knee and shin and was evacuated for medical treatment. The remote control box he was carrying fell an additional 40 feet. Investigation found failures in communication, hazard identification, and implementation of corrective actions.",data/structured/incidents/anthropic/28-MAR-2024_WR%2051_BOE_EV2010R.json
31-MAY-2023_GC468_EV2010R-2,UNKNOWN,anthropic,,,,,,,data/structured/incidents/anthropic/31-MAY-2023_GC468_EV2010R-2.json
31-May-2024%20-%20GC52%20-MC%20Offshore%20EV2010R,BSEE,anthropic,2024-05-31,Gulf of Mexico - Green Canyon Block 52,"MC Offshore Petroleum, LLC",Structural Damage to Crane Boom,Crane/Lifting Equipment Damage,"On May 31, 2024, during boat offloading/backloading operations at Green Canyon Block 52 Platform A, a stinger attached to the crane's main block latched onto a lace of the crane boom. When the PIC instructed the crane operator to lower the boom without simultaneously lowering the main block (ignoring CO-2's warning), the stinger pulled free and broke a weld on the boom lace. Despite discovering the damage the next day during pre-use inspection, the PIC instructed crew to continue using the damaged crane. The crane remained in operation from May 31 until BSEE inspectors took it out of service on June 6, 2024. BSEE was not immediately notified of the incident as required.",data/structured/incidents/anthropic/31-May-2024%20-%20GC52%20-MC%20Offshore%20EV2010R.json
AC%20337%20LLOG%2012-OCT-2024,BSEE,anthropic,2024-10-12,Gulf of America - Alaminos Canyon Block 337,"LLOG Exploration Offshore, L.L.C.",Personnel Injury from Moving Equipment,Caught Between - Personnel Pinned by Equipment,"On October 12, 2024, a Derrickman (IP) was injured onboard the Noble Valiant drilling rig during tripping operations. The IP positioned himself on the upper fingerboards, outside the designated safe observation area, without a working-at-heights permit to tie up a malfunctioning fingerboard latch. While working on the latch for approximately 10 minutes, the Pipe Racking System (PRS), operating in automatic mode, extended to retrieve a stand of pipe. The IP was caught and pinned between the PRS arm and the pipe stand. Coworkers heard his calls for help, the AD engaged the emergency stop, and the IP was freed and evacuated for medical treatment. The incident resulted from policy violations and lack of situational awareness by multiple parties.",data/structured/incidents/anthropic/AC%20337%20LLOG%2012-OCT-2024.json
AC%20337%20LLOG%2027-SEP-2024,BSEE,anthropic,2024-09-27,Gulf of Mexico - Alaminos Canyon Block 337,"LLOG Exploration Offshore, L.L.C.",Personnel Injury During Lifting Operations,Slip/Trip/Fall,"On 27 September 2024, a Deckhand on the M/V Harvey Freedom support vessel injured his leg during equipment back-loading operations from the Noble Valiant drillship. While attempting to steady a 50-foot basket with a tagline as it was being landed, the support vessel rolled causing the IP to lose footing and injure his left leg. The IP was evacuated to the drillship, then to shore, required surgery, and resulted in more than 3-days lost time.",data/structured/incidents/anthropic/AC%20337%20LLOG%2027-SEP-2024.json
AC%20735%20Shell%2008-Dec-2023,BSEE,anthropic,2023-12-08,Gulf of Mexico - Alaminos Canyon Block 735,Shell Offshore Inc.,Loss of Containment - Personnel in Line of Fire,Personnel Injury - Caught Between,"On December 8, 2023, at approximately 08:30 am, a Floorhand (IP) sustained a lost time injury when contacted by the Top Drive System (TDS) while positioned on the port pipe racker upper access platform approximately 80 feet above the drill floor on the Noble Globetrotter II drilling rig. The IP had moved to the platform to troubleshoot a 'slack rope detected' alarm without notifying the Driller. As the Driller lowered the TDS during tripping operations, the lower port TDS roller assembly contacted the IP, folding his upper torso around the outside handrail. The IP sustained a punctured lung, fractured ribs, and a fractured scapula. The incident resulted from inadequate communication, failure to identify the moving equipment hazard in the JSA, lack of warning signage, and absence of engineered barriers despite only 3 inches clearance between the TDS and platform handrail.",data/structured/incidents/anthropic/AC%20735%20Shell%2008-Dec-2023.json
AC%20857%20Shell%2003-Oct-2024,BSEE,anthropic,2024-10-03,Gulf of Mexico - Alaminos Canyon Block 857,Shell Offshore Inc.,Arc Flash Fire,Fire - Electrical Equipment Failure,"On October 3, 2024, at approximately 9:00 am, an arc flash fire occurred on Shell's Perdido SPAR when a Silicon Controlled Rectifier (SCR) failed in the SCR house. During wireline logging operations, the cement pump was being used to pump base oil into well GA017 for hydrate mitigation when the cement unit's electronic panel lost power. When the Tool Pusher and Rig Electrician entered the SCR room to investigate, they heard a loud popping sound and observed smoke. Evidence of arcing between DC buss bars, arcing on circuit breaker heat sinks, and a failed buss insulator in SCR cabinet #1 was identified. The fire and gas alarm system did not detect the fire; it was only identified when personnel entered the SCR house. The well was secured and SCR cabinet #1 was isolated for repair.",data/structured/incidents/anthropic/AC%20857%20Shell%2003-Oct-2024.json
AC%20857%20Shell%2004-Sep-2023%20,BSEE,anthropic,2023-09-04,Gulf of Mexico - Alaminos Canyon Block 857,Shell Offshore Inc.,Loss of Containment,Unauthorized discharge of drilling fluid to sea,"On September 4, 2023, approximately 24 barrels of Synthetic Based Mud (SBM) were discharged into the Gulf of Mexico from the H&P 205 drilling rig on Shell's Perdido Spar. The crew was circulating a clean out run and had transferred 117 bbls of SBM to processing pits to remove entrained gas. Seven minutes after the transfer pump was turned off, the degasser tank volume began decreasing. Investigation revealed that both the knife valve on the degasser tank discharge line and the butterfly valve (master dump valve) had leaked due to obstructions - cuttings in the knife valve and a piece of rubber in the butterfly valve - preventing proper sealing. The crew had visually verified valve positions per procedure but did not functionally test the valves prior to transfer. The valves had not been operated since April 2023.",data/structured/incidents/anthropic/AC%20857%20Shell%2004-Sep-2023%20.json
AC%20857%20Shell%20Fire%2021-June-2023,BSEE,anthropic,2023-06-21,Gulf of Mexico - Alaminos Canyon Block 857,Shell Offshore Inc.,Loss of Containment - Smoke Release,Fire/Equipment Failure,"On June 21, 2023, at 0930 hours, a Variable Frequency Device A (VFD-A) failed at the Perdido Spar platform. The B-phase reactor of the VFD-A failed to ground, releasing smoke that activated smoke detectors in the Subsea Motor Control Center room. This triggered an automated facility shut-in and personnel muster. The Fire Team responded but found no active fire, only smoke. Cabinet A reached 350°F and was isolated from service. Estimated damage cost was $65,000. No injuries or pollution occurred.",data/structured/incidents/anthropic/AC%20857%20Shell%20Fire%2021-June-2023.json
CSB_Gas_Purging_Urgent_Recommendations_(2)1,UNKNOWN,anthropic,2009-06-09,"Garner, North Carolina, United States",ConAgra,Loss of Containment,Explosion and Fire,"On June 9, 2009, a catastrophic natural gas explosion occurred at the ConAgra Slim Jim production facility in Garner, North Carolina, resulting in 4 deaths, 3 critical burn injuries, 1 amputation, and 67 total hospitalizations. The explosion occurred during installation and commissioning of a new 5-million BTU per hour gas-fired industrial water heater. Over a two-and-a-half hour period, natural gas was purged from new piping into an interior utility room rather than vented outdoors. Personnel relied on sense of smell rather than combustible gas detectors to monitor gas concentration. The gas accumulated to explosive levels and ignited, causing serious structural damage including 37% roof collapse. The explosion also damaged ammonia refrigeration system piping, releasing approximately 18,000 pounds of toxic anhydrous ammonia to the environment, contaminating local surface waters and causing a fish kill. Over 200 nonessential personnel were present in the facility during the purging activity.",data/structured/incidents/anthropic/CSB_Gas_Purging_Urgent_Recommendations_(2)1.json
EB%20602-A%20%20Anadarko%20%2021-May-2025,BSEE,anthropic,2025-05-21,"Gulf of America, East Breaks Block 602",Anadarko Petroleum Corporation,Structural Damage - Crane Equipment Failure,Crane incident with dropped object,"On 21-May-2025 at approximately 1:45 p.m., a crane incident occurred on the Nansen Spar platform. Contract scaffold builders attached multiple 1/4-ton lever hoists to the crane boom for scaffolding stabilization without notifying the Lifting Authority. When the crane operator lifted the boom out of its rest after lunch break without conducting a pre-use inspection, one lever hoist broke and fell approximately 30 feet to the flare boom mezzanine deck. No injuries occurred. The incident resulted from communication failures, inadequate supervision, and simultaneous operations in a confined area.",data/structured/incidents/anthropic/EB%20602-A%20%20Anadarko%20%2021-May-2025.json
EC%2071%20ECOP%2025-MAY-2023,BSEE,anthropic,2023-05-25,Gulf of Mexico - East Cameron Block 71,"EC Offshore Properties, Inc.",Loss of Containment,Pollution - Unauthorized Discharge,"On May 25, 2023, at 1:15am, approximately 79 barrels of zinc bromide brine was inadvertently discharged from a wellhead casing valve at Well Number C007 on Platform C at East Cameron Block 71. During BOP testing operations, a Floorhand was assigned to close a 1 13/16-inch 10M gate valve on the wellhead casing. The Floorhand believed the valve was closed but it was not fully closed. When zinc bromide brine was pumped to refill the production casing and BOP, the partially open valve allowed fluid to discharge into the Gulf of Mexico. The Floorhand noticed slower than normal returns and was sent to recheck the valve, where he fully closed it and stopped the flow. Investigation using Pit Volume Totalizer data determined the actual release was 79 barrels, significantly more than the initially reported 28 barrels.",data/structured/incidents/anthropic/EC%2071%20ECOP%2025-MAY-2023.json
EI%20158JB_Apache_21-SEP-2023,BSEE,anthropic,2023-09-21,Gulf of Mexico - Eugene Island Block 158,Apache Corporation,Loss of Containment of Heavy Equipment,Personnel Injury - Struck By,"On 21 September 2023 at approximately 0130 hours, a night shift Supervisor sustained a compound fracture with exposed bone on his lower left shin when an unsecured 8000-pound wellhead rolled onto his leg after he sat on it and stood up. The wellhead had been removed from Well #13 during day shift operations and laid on its side on the deck of the Lift Boat Man-O-War without proper securing. Personnel had attempted to check stability by hand before removing rigging, but this was insufficient. The wellhead was in an unstable position and may have shifted due to lift boat movements from weather and crane activity. The injured party was evacuated by medevac helicopter for medical treatment, resulting in days away from work.",data/structured/incidents/anthropic/EI%20158JB_Apache_21-SEP-2023.json
EI%20252I_Arena_20-AUG-2023,BSEE,anthropic,2023-08-20,Gulf of Mexico - Eugene Island Block 252,"Arena Offshore, LP",Structural Damage - Crane Auxiliary Jib Detachment,Equipment Failure / Structural Damage,"On August 20, 2023, at approximately 1000 hours, the auxiliary jib on the platform crane detached while attempting to relocate a construction supply box weighing 3,886 lbs. The crane operator failed to center the auxiliary line over the construction supply box, causing it to become lodged on a capping beam. Continued lifting created a side loading effect that caused the boom to twist, shearing the auxiliary jib bolts and causing the jib to detach. The auxiliary jib became entangled in hydraulic lines, preventing it from falling to the deck. The rigger failed to communicate the all stop signal. No injuries occurred. Repairs totaled $80,000.",data/structured/incidents/anthropic/EI%20252I_Arena_20-AUG-2023.json
